"jahr";"anzahl_der_angebotenen_mietwohnungen";"durchschnittsmiete_median_in_euro_je_qm";"durchschnittsmiete_median_in_euro_0_40_qm";"durchschnittsmiete_median_in_euro_40_60_qm";"durchschnittsmiete_median_in_euro_60_80_qm";"durchschnittsmiete_median_in_euro_80_100_qm";"durchschnittsmiete_median_in_euro_100_qm";"durchschnittsmiete_median_in_euro_1_1_5_zimmer";"durchschnittsmiete_median_in_euro_2_2_5_zimmer";"durchschnittsmiete_median_in_euro_3_3_5_zimmer";"durchschnittsmiete_median_in_euro_4_4_5_zimmer";"durchschnittsmiete_median_in_euro_5_zimmer";"durchschnittsmiete_median_in_euro_bei_erstbezug";"durchschnittsmiete_median_in_euro_renoviert";"durchschnittsmiete_median_in_euro_gepflegt";"durchschnittsmiete_median_in_euro_sonstige"
2024;7632;12,6;15;12,3;11,7;12,5;13,5;13,9;12,1;12,3;13,3;13,4;15;12,7;11,8;11,8
2023;8634;12;14,1;11,7;11,3;11,8;13;13,4;11,6;11,7;12,5;13;14,1;12,1;11,2;11,3
2022;8991;11,5;13,8;11,5;10,9;11,2;12,3;13,1;11,3;11,2;11,9;12,5;13,5;11,5;10,8;11
2021;9092;11,4;13,9;11,3;10,7;11,1;12,2;13,2;11,1;11;11,6;12,4;13,1;11,3;10,7;10,9
2020;8201;11,2;13,9;11,2;10,4;10,9;11,6;13,1;11;10,7;11,3;11,5;13;11,1;10,4;10,8
2019;6347;10,8;12,8;10,8;10,3;10,4;11,1;12,3;10,7;10,5;10,9;11,2;12,2;10,8;10,3;10,4
2018;6515;10,5;12,2;10,4;10;10,1;11;11,7;10,3;10,1;10,6;11,1;11,8;10,5;10;10
2017;6443;10,2;11,7;10;9,9;10;10,9;11,1;10;10;10,7;11;11,6;10,2;9,8;9,8
2016;7569;9,6;11,2;9,6;9,2;9,4;10;10,6;9,5;9,4;9,5;10,6;10,9;9,8;9,5;8,9
2015;7358;9,3;10,8;9,2;8,9;9,1;9,9;10,3;9,2;9,1;9,5;9,7;10,3;9,3;9,1;8,9
2014;8317;9,1;10,3;9,1;8,7;8,8;9,8;10;9;8,9;9,3;10;10;9,1;8,9;8,8
2013;7820;8,9;10;8,9;8,5;8,6;9,6;9,7;8,7;8,8;8,9;10;9,9;8,8;8,6;8,5
2012;5222;8,6;9,7;8,6;8,2;8,3;9;9,4;8,5;8,3;8,5;9;9,5;8,6;8,4;8,1
2011;5018;8,3;9,3;8,2;7,9;8;9;8,9;8,2;8,1;8,3;8,7;9,1;8,3;8,2;7,8
2010;5874;8;9,1;8,1;7,7;7,8;8,3;8,8;8;7,9;7,9;8,1;8,7;8;7,9;7,7
2009;6094;7,9;9;8;7,6;7,6;8,3;8,7;7,9;7,7;8;8,5;8,5;7,9;7,8;7,7
2008;6294;7,8;8,8;7,8;7,6;7,6;8,1;8,5;7,7;7,7;7,8;8,2;8,4;7,8;7,8;7,6
2007;6652;7,8;8,8;7,8;7,5;7,7;8,2;8,4;7,7;7,6;7,8;8,2;8,5;7,8;7,7;7,5
